D0:4D:C6:02:E5:C0,D0:4D:C6:02:95:61,D0:4D:C6:02:95:70,D0:D3:E0:B1:87:00,D0:4D:C6:02:47:F0,D0:4D:C6:02:47:E0,D0:4D:C6:02:C2:81,D0:4D:C6:01:E6:20,D0:4D:C6:02:C2:80,D0:4D:C6:01:E6:21,D0:4D:C6:02:D3:A0,D0:4D:C6:02:7E:50,00:4E:35:CF:97:B0,D0:D3:E0:B1:3A:71,D0:D3:E0:B1:3A:60,D0:4D:C6:02:C2:91,D0:4D:C6:02:7E:51,D0:4D:C6:02:C2:90,D0:4D:C6:01:E6:30,D0:4D:C6:02:7E:41,00:4E:35:CF:97:A1,D0:4D:C6:03:4D:51,D0:4D:C6:01:E6:31,00:4E:35:CF:97:B1,D0:4D:C6:02:7E:40,D0:4D:C6:02:47:E1,D0:D3:E0:B1:A0:00,D0:4D:C6:03:4D:41,D0:4D:C6:02:E5:C1,00:4E:35:CF:97:A0,00:4E:35:CF:2E:50,00:4E:35:CF:CE:20,D0:D3:E0:B1:3A:61,00:4E:35:CF:2E:51,D0:4D:C6:02:47:F1,00:4E:35:CF:2E:41,D0:4D:C6:02:95:60,40:E3:D6:24:25:32,D0:4D:C6:03:4D:40,40:E3:D6:24:25:33,D0:4D:C6:03:4D:50,D0:4D:C6:02:E5:D1,D0:D3:E0:B1:3A:70,D0:4D:C6:02:95:71,40:E3:D6:24:25:23,00:4E:35:CF:2E:40,D0:D3:E0:B1:87:01,D0:4D:C6:02:E5:D0,40:E3:D6:24:25:22,x,y
43,64,63,0,32,41,33,37,0,33,0,31,0,0,31,0,31,0,31,43,31,36,31,31,43,0,0,46,44,31,0,0,31,0,0,40,64,31,45,31,0,0,0,63,36,40,0,32,36,1,5
0,69,62,0,43,47,31,0,31,0,0,0,0,0,31,31,31,31,0,0,0,36,0,0,0,47,0,0,40,0,34,0,0,34,0,40,70,0,42,0,0,31,0,61,0,40,0,31,0,4,12
44,55,46,0,0,0,36,32,36,32,0,34,0,0,31,0,34,31,31,46,0,42,31,0,46,0,0,51,45,0,0,0,31,31,32,0,55,0,51,0,42,0,0,46,0,0,0,0,0,11,4
0,62,57,0,31,40,31,31,31,0,0,31,0,0,0,31,31,0,0,0,31,38,0,0,0,36,0,47,0,31,33,0,0,33,32,38,62,31,47,31,38,33,0,57,37,38,0,33,0,5,12
45,64,57,0,33,40,31,0,31,0,0,31,0,0,31,31,31,0,0,42,31,40,0,0,41,39,0,45,45,31,31,0,31,31,33,36,64,31,45,0,39,31,0,59,37,36,0,31,37,2,6
41,68,61,0,37,46,31,31,31,31,0,31,0,0,31,0,31,31,0,0,31,36,0,0,0,46,0,45,41,31,0,0,31,0,37,42,67,0,45,0,38,0,0,61,35,0,0,0,34,1,9
0,61,61,0,35,0,35,31,35,31,0,34,0,0,31,0,34,0,0,41,31,40,0,0,41,0,0,44,44,31,0,0,31,0,35,39,61,0,44,0,0,0,0,61,34,39,0,0,0,2,1
0,58,59,0,34,0,0,0,0,35,0,35,0,0,31,0,0,0,31,45,35,45,31,0,49,0,0,49,0,34,31,0,31,31,0,41,58,0,49,0,0,0,0,59,0,0,0,0,0,9,2
43,63,57,0,0,40,38,31,37,31,0,0,0,31,31,31,32,31,31,44,0,0,31,0,44,40,0,49,43,0,31,0,31,31,0,37,0,0,49,0,0,0,0,57,36,37,0,0,36,2,3
40,67,62,0,0,0,31,31,31,0,0,31,0,0,0,31,31,0,0,0,0,0,31,0,0,0,0,46,39,0,0,0,0,32,37,42,0,0,45,0,0,31,0,62,0,42,0,0,0,1,5
42,59,58,0,34,0,0,0,32,0,0,31,0,0,0,0,31,0,0,0,31,0,0,0,0,0,0,42,42,31,31,0,31,31,0,37,59,0,40,0,0,0,0,58,0,37,0,0,35,3,12
0,61,54,0,32,0,0,31,0,31,0,0,0,0,31,0,0,0,0,41,31,38,31,0,41,0,0,45,0,31,0,0,0,0,32,0,61,0,45,0,38,0,0,54,37,39,0,0,37,3,9
40,52,53,31,31,39,34,34,35,34,0,38,31,0,32,33,34,33,0,47,31,42,31,31,47,39,0,48,40,31,0,0,31,0,32,42,52,0,48,0,42,0,0,53,33,42,31,0,0,10,4
42,54,49,0,33,0,34,32,35,33,0,33,0,0,31,32,34,0,0,39,31,42,31,0,0,0,0,50,42,31,0,0,0,0,33,37,54,0,50,0,43,32,0,49,31,37,0,0,31,10,5
42,51,50,0,31,0,39,34,39,34,0,37,0,0,31,31,0,31,31,44,0,39,31,0,44,0,0,47,42,0,0,0,31,0,0,0,51,0,0,0,39,0,0,50,31,0,0,37,0,7,5
43,62,60,0,35,38,34,31,34,31,0,31,0,0,31,0,31,31,31,43,31,39,31,0,45,0,0,47,45,31,0,0,31,0,35,38,62,0,47,0,40,0,0,60,38,39,0,0,38,4,5
36,65,61,0,38,46,31,31,31,0,0,31,0,0,0,31,31,0,0,38,31,38,0,0,38,45,0,44,36,31,0,0,31,32,38,38,65,31,44,0,38,0,0,61,34,38,0,0,34,3,10
40,69,60,0,38,42,0,0,0,0,0,31,0,0,0,31,31,0,0,0,31,36,0,0,0,42,0,43,0,31,34,0,31,34,38,42,0,0,43,0,36,31,0,60,36,42,0,31,35,4,9
0,55,42,0,32,0,0,0,0,0,0,0,0,0,31,33,35,0,31,40,0,45,31,0,40,0,0,0,0,0,33,0,31,33,31,41,55,0,51,0,0,35,0,42,32,41,0,0,31,9,3
47,59,58,0,33,41,41,35,41,35,0,35,0,0,0,33,35,0,31,41,31,36,31,0,42,40,0,51,47,31,0,0,31,31,33,38,59,0,51,0,36,0,0,57,34,38,0,0,34,6,3
37,63,65,0,38,44,31,0,31,0,0,31,0,0,31,0,31,31,0,37,0,40,0,0,38,44,0,41,0,31,34,0,31,34,38,41,63,0,41,0,40,32,0,65,0,41,0,32,0,3,12
0,57,0,0,0,0,0,0,36,34,0,0,0,0,31,0,32,31,0,44,0,41,0,0,44,39,0,48,0,0,0,0,31,0,0,38,57,0,48,0,0,33,0,48,33,39,0,33,33,8,2
45,61,53,0,38,0,31,34,0,33,0,31,0,0,0,0,31,0,0,41,0,42,0,0,42,0,0,45,45,0,31,0,0,31,38,0,61,0,45,0,41,33,0,53,0,38,0,33,0,3,6
45,57,56,0,32,0,37,35,37,34,0,34,0,0,31,31,34,0,0,43,0,0,0,0,43,0,0,50,0,0,31,0,31,31,32,38,57,0,50,0,42,31,0,56,36,38,0,0,36,6,3
39,66,60,0,31,43,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,43,0,0,40,31,0,0,0,0,31,41,66,0,43,0,34,0,0,60,37,41,0,0,36,1,9
50,62,50,0,31,35,36,34,36,34,0,37,31,31,0,34,37,0,31,45,32,42,31,31,45,0,0,54,50,32,31,31,0,31,31,41,62,0,54,0,42,0,0,50,34,39,0,33,35,6,2
46,60,62,0,31,42,37,36,37,35,0,32,0,0,31,33,33,31,31,44,31,39,31,0,45,0,0,47,46,31,31,0,32,33,35,40,60,0,47,0,0,0,0,62,38,40,0,31,37,3,4
44,57,0,0,33,0,39,38,39,38,31,0,31,0,33,0,34,34,31,45,0,45,31,31,45,0,0,0,44,0,31,0,32,31,31,0,62,0,50,0,0,31,0,59,32,0,0,0,32,9,2
